iter	Passed	Remaining
904	2892	303
905	2896	300
906	2899	297
907	2903	294
908	2906	290
909	2909	287
910	2913	284
911	2916	281
912	2919	278
913	2923	275
914	2926	271
915	2930	268
916	2933	265
917	2937	262
918	2940	259
919	2944	256
920	2947	252
921	2950	249
922	2954	246
923	2957	243
924	2960	240
925	2963	236
926	2966	233
927	2970	230
928	2973	227
929	2976	224
930	2980	220
931	2983	217
932	2986	214
933	2989	211
934	2992	208
935	2995	204
936	2998	201
937	3002	198
938	3005	195
939	3008	192
940	3011	188
941	3014	185
942	3017	182
943	3020	179
944	3023	175
945	3026	172
946	3029	169
947	3032	166
948	3035	163
949	3038	159
950	3042	156
951	3045	153
952	3048	150
953	3051	147
954	3055	143
955	3059	140
956	3062	137
957	3066	134
958	3069	131
959	3073	128
960	3076	124
961	3079	121
962	3083	118
963	3087	115
964	3090	112
965	3093	108
966	3097	105
967	3100	102
968	3103	99
969	3107	96
970	3110	92
971	3113	89
972	3117	86
973	3120	83
974	3124	80
975	3127	76
976	3130	73
977	3134	70
978	3137	67
979	3140	64
980	3143	60
981	3147	57
982	3150	54
983	3153	51
984	3156	48
985	3159	44
986	3163	41
987	3166	38
988	3169	35
989	3172	32
990	3175	28
991	3178	25
992	3181	22
993	3185	19
994	3188	16
995	3191	12
996	3195	9
997	3198	6
998	3201	3
999	3204	0
